date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:27	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2006%20Sep%202020%2014:52:44%20GMT	https://nohealthynowealthy.webflow.io/robots.txt		(from )
23:53:28	71922/71922	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Sep%202020%2014:52:44%20GMT	https://nohealthynowealthy.webflow.io/	nohealthynowealthy.webflow.io/index.html	(from )
23:53:28	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2006%20Sep%202020%2014:52:45%20GMT	https://nohealthynowealthy.webflow.io/about	nohealthynowealthy.webflow.io/about	(from https://nohealthynowealthy.webflow.io/)
23:53:29	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2006%20Sep%202020%2014:52:46%20GMT	https://nohealthynowealthy.webflow.io/free-workouts	nohealthynowealthy.webflow.io/free-workouts	(from https://nohealthynowealthy.webflow.io/)
23:53:30	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2006%20Sep%202020%2014:52:47%20GMT	https://nohealthynowealthy.webflow.io/shop	nohealthynowealthy.webflow.io/shop	(from https://nohealthynowealthy.webflow.io/)
23:53:31	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2006%20Sep%202020%2014:52:48%20GMT	https://nohealthynowealthy.webflow.io/contact	nohealthynowealthy.webflow.io/contact	(from https://nohealthynowealthy.webflow.io/)
23:53:32	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2006%20Sep%202020%2014:52:49%20GMT	https://nohealthynowealthy.webflow.io/checkout	nohealthynowealthy.webflow.io/checkout	(from https://nohealthynowealthy.webflow.io/)
23:53:33	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2006%20Sep%202020%2014:52:50%20GMT	https://nohealthynowealthy.webflow.io/free-plans/the-ultimate-abs-tabata	nohealthynowealthy.webflow.io/free-plans/the-ultimate-abs-tabata	(from https://nohealthynowealthy.webflow.io/)
23:53:34	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2006%20Sep%202020%2014:52:51%20GMT	https://nohealthynowealthy.webflow.io/free-plans/the-perfect-outdoor-workout	nohealthynowealthy.webflow.io/free-plans/the-perfect-outdoor-workout	(from https://nohealthynowealthy.webflow.io/)
23:53:35	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2006%20Sep%202020%2014:52:52%20GMT	https://nohealthynowealthy.webflow.io/free-plans/back-day	nohealthynowealthy.webflow.io/free-plans/back-day	(from https://nohealthynowealthy.webflow.io/)
23:53:36	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2006%20Sep%202020%2014:52:53%20GMT	https://nohealthynowealthy.webflow.io/product/home-burn	nohealthynowealthy.webflow.io/product/home-burn	(from https://nohealthynowealthy.webflow.io/)
